ID;tesi;Length;Diam;class;shoot;node;c;v;m;cl;nu;b;node.1;c.1;v.1;m.1;cluster;nuts;b.1;numoss;node.2;c.2;v.2;m.2;cluster.1;nuts.1;b.2;numoss;node.3;c.3;v.3;m.3;cluster.2;nuts.2;b.3;numoss;node.4;c.4;v.4;m.4;cluster.3;nuts.3;b.4;numoss;node.5;c.5;v.5;m.5;cluster.4;nuts.4;b.5;numoss;node.6;c.6;v.6;m.6;cluster.5;nuts.5;b.6;numoss;node.7;c.7;v.7;m.7;cluster.6;nuts.6;b.7;numoss;node.8;c.8;v.8;m.8;cluster.7;nuts.7;b.8;numoss;node.9;c.9;v.9;m.9;cluster.8;nuts.8;b.9;numoss;node.10;c.10;v.10;m.10;cluster.9;nuts.9;b.10;numoss;node.11;c.11;v.11;m.11;cluster.10;nuts.10;b.11;numoss;node.12;c.12;v.12;m.12;cluster.11;nuts.11;b.12;numoss;node.13;c.13;v.13;m.13;cluster.12;nuts.12;b.13;numoss;node.14;c.14;v.14;m.14;cluster.13;nuts.13;b.14;numoss;node.15;c.15;v.15;m.15;cluster.14;nuts.14;b.15;numoss;node.16;c.16;v.16;m.16;cluster.15;nuts.15;b.16;numoss;node.17;c.17;v.17;m.17;cluster.16;nuts.16;b.17;numoss;node.18;c.18;v.18;m.18;cluster.17;nuts.17;b.18;numoss;node.19;c.19;v.19;m.19;cluster.18;nuts.18;b.19;numoss;node.20;c.20;v.20;m.20;cluster.19;nuts.19;b.20;numoss;node.21;c.21;v.21;m.21;cluster.20;nuts.20;b.21;numoss;node.22;c.22;v.22;m.22;cluster.21;nuts.21;b.22;numoss;node.23;c.23;v.23;m.23;cluster.22;nuts.22;b.23;numoss
121;AUTOR;42;6.37;VLo;1;13;16;7;11;3;9;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;0;1;0;0;0;0;1;4;3;0;2;0;0;0;3;5;5;1;0;0;0;0;2;6;4;0;3;1;3;0;4;7;4;1;1;0;0;0;3;8;0;0;1;1;3;0;1;9;0;0;1;0;0;0;1;10;0;0;1;1;3;0;1;11;0;0;1;0;0;0;1;12;0;1;0;0;0;0;1;13;0;2;1;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
122;AUTOR;40;6.22;Lo;2;14;14;13;10;6;20;0;1;0;1;0;0;0;0;1;2;0;0;1;1;2;0;1;3;0;1;0;0;0;0;1;4;0;3;0;0;0;0;3;5;3;1;2;1;2;0;4;6;0;1;0;0;0;0;1;7;4;3;2;0;0;0;6;8;0;0;1;1;4;0;1;9;5;1;0;0;0;0;2;10;0;0;1;1;3;0;1;11;2;2;0;0;0;0;3;12;0;0;1;1;4;0;1;13;0;0;1;1;5;0;1;14;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
123;AUTOR;9;3.7;Me;3;6;0;5;3;2;6;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;0;1;1;2;0;1;5;0;0;1;1;4;0;1;6;0;2;1;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
124;AUTOR;48;7.43;VLo;4;17;0;17;2;2;10;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;5;0;0;1;1;4;0;1;6;0;0;1;1;6;0;1;7;0;1;0;0;0;0;1;8;0;1;0;0;0;0;1;9;0;1;0;0;0;0;1;10;0;1;0;0;0;0;1;11;0;1;0;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;16;0;1;0;0;0;0;1;17;0;3;0;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
125;AUTOR;41;7.17;VLo;5;17;21;16;12;7;19;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;2;0;0;0;0;2;4;0;0;1;1;1;0;1;5;4;2;1;1;3;0;4;6;0;0;1;1;3;0;1;7;4;3;2;0;0;0;6;8;4;0;1;0;0;0;2;9;0;1;1;1;4;0;2;10;0;1;1;1;4;0;2;11;0;0;1;0;0;0;1;12;0;0;1;1;3;0;1;13;4;3;0;0;0;0;4;14;0;0;1;0;0;0;1;15;0;2;0;0;0;0;2;16;5;0;0;0;0;0;1;17;0;0;1;1;1;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
126;AUTOR;14;4.34;Me;6;7;11;4;4;2;5;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;5;2;0;0;0;0;3;4;3;0;2;0;0;0;3;5;0;0;1;1;3;0;1;6;3;1;0;0;0;0;2;7;0;0;1;1;2;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
127;AUTOR;43;6.41;VLo;7;14;21;10;10;2;11;1;1;0;0;1;0;0;0;1;2;0;0;0;0;0;1;1;3;0;2;0;0;0;0;2;4;7;0;0;0;0;0;1;5;4;0;3;1;5;0;4;6;0;1;1;1;6;0;2;7;5;2;0;0;0;0;3;8;5;1;1;0;0;0;3;9;0;0;1;0;0;0;1;10;0;0;1;0;0;0;1;11;0;0;1;0;0;0;1;12;0;0;1;0;0;0;1;13;0;1;0;0;0;0;1;14;0;3;0;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
128;AUTOR;3;2.34;Sh;8;3;2;4;1;0;0;0;1;0;1;0;0;0;0;1;2;0;0;1;0;0;0;1;3;2;3;0;0;0;0;4;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
129;AUTOR;30;5.09;Lo;9;15;13;10;8;5;10;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;2;0;1;4;0;0;1;0;0;0;1;5;4;2;1;1;1;0;4;6;4;1;1;0;0;0;3;7;0;1;0;0;0;0;1;8;0;1;1;1;2;0;2;9;0;0;1;1;3;0;1;10;0;0;1;1;2;0;1;11;0;0;1;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;5;0;0;0;0;0;1;15;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
130;AUTOR;57;6.8;VLo;10;14;0;7;15;8;17;0;1;0;0;1;1;1;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;3;0;1;4;0;0;1;1;1;0;1;5;0;4;5;1;1;0;9;6;0;1;0;0;0;0;1;7;0;0;1;1;3;0;1;8;0;0;1;0;0;0;1;9;0;0;1;1;4;0;1;10;0;0;1;0;0;0;1;11;0;0;1;1;2;0;1;12;0;1;0;0;0;0;1;13;0;0;1;1;2;0;1;14;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
